
--- Group Size 262144 (32 templates) ---
Top matches:
(0, 'ffn_c_fc', 1) <-> (3, 'ffn_c_fc', 1) | Sim: -0.0005
(0, 'ffn_c_fc', 1) <-> (3, 'ffn_c_fc', 2) | Sim: 0.0012
(0, 'ffn_c_fc', 1) <-> (3, 'ffn_c_fc', 3) | Sim: -0.0014
(0, 'ffn_c_fc', 1) <-> (3, 'ffn_c_fc', 4) | Sim: 0.0003
(0, 'ffn_c_fc', 1) <-> (3, 'ffn_c_fc', 5) | Sim: -0.0043
(0, 'ffn_c_fc', 1) <-> (3, 'ffn_c_fc', 6) | Sim: -0.0039
(0, 'ffn_c_fc', 1) <-> (3, 'ffn_c_fc', 7) | Sim: -0.0050
(0, 'ffn_c_fc', 2) <-> (0, 'ffn_c_fc', 0) | Sim: 0.1424
(0, 'ffn_c_fc', 2) <-> (0, 'ffn_c_fc', 1) | Sim: 0.2033
(0, 'ffn_c_fc', 2) <-> (0, 'ffn_c_fc', 3) | Sim: 0.1395
(0, 'ffn_c_fc', 2) <-> (0, 'ffn_c_fc', 4) | Sim: 0.1442
(0, 'ffn_c_fc', 2) <-> (0, 'ffn_c_fc', 5) | Sim: 0.2080
(0, 'ffn_c_fc', 2) <-> (0, 'ffn_c_fc', 6) | Sim: 0.1926
(0, 'ffn_c_fc', 2) <-> (0, 'ffn_c_fc', 7) | Sim: 0.1651
(0, 'ffn_c_fc', 2) <-> (1, 'ffn_c_fc', 0) | Sim: -0.0014
(0, 'ffn_c_fc', 2) <-> (1, 'ffn_c_fc', 1) | Sim: 0.0015
(0, 'ffn_c_fc', 2) <-> (1, 'ffn_c_fc', 2) | Sim: -0.0000
(0, 'ffn_c_fc', 2) <-> (1, 'ffn_c_fc', 3) | Sim: 0.0001
(0, 'ffn_c_fc', 2) <-> (1, 'ffn_c_fc', 4) | Sim: 0.0020
(0, 'ffn_c_fc', 2) <-> (1, 'ffn_c_fc', 5) | Sim: -0.0032
(0, 'ffn_c_fc', 2) <-> (1, 'ffn_c_fc', 6) | Sim: 0.0001
(0, 'ffn_c_fc', 2) <-> (1, 'ffn_c_fc', 7) | Sim: 0.0001
(0, 'ffn_c_fc', 2) <-> (2, 'ffn_c_fc', 0) | Sim: 0.0012
(0, 'ffn_c_fc', 2) <-> (2, 'ffn_c_fc', 1) | Sim: -0.0004
(0, 'ffn_c_fc', 2) <-> (2, 'ffn_c_fc', 2) | Sim: 0.0004
(0, 'ffn_c_fc', 2) <-> (2, 'ffn_c_fc', 3) | Sim: 0.0013
(0, 'ffn_c_fc', 2) <-> (2, 'ffn_c_fc', 4) | Sim: 0.0017
(0, 'ffn_c_fc', 2) <-> (2, 'ffn_c_fc', 5) | Sim: 0.0003
(0, 'ffn_c_fc', 2) <-> (2, 'ffn_c_fc', 6) | Sim: -0.0016
(0, 'ffn_c_fc', 2) <-> (2, 'ffn_c_fc', 7) | Sim: 0.0009
(0, 'ffn_c_fc', 2) <-> (3, 'ffn_c_fc', 0) | Sim: 0.0016
(0, 'ffn_c_fc', 2) <-> (3, 'ffn_c_fc', 1) | Sim: 0.0009
(0, 'ffn_c_fc', 2) <-> (3, 'ffn_c_fc', 2) | Sim: 0.0011
(0, 'ffn_c_fc', 2) <-> (3, 'ffn_c_fc', 3) | Sim: 0.0005
(0, 'ffn_c_fc', 2) <-> (3, 'ffn_c_fc', 4) | Sim: 0.0007
(0, 'ffn_c_fc', 2) <-> (3, 'ffn_c_fc', 5) | Sim: 0.0006
(0, 'ffn_c_fc', 2) <-> (3, 'ffn_c_fc', 6) | Sim: -0.0022
(0, 'ffn_c_fc', 2) <-> (3, 'ffn_c_fc', 7) | Sim: 0.0002
(0, 'ffn_c_fc', 3) <-> (0, 'ffn_c_fc', 0) | Sim: 0.2291
(0, 'ffn_c_fc', 3) <-> (0, 'ffn_c_fc', 1) | Sim: 0.1766
(0, 'ffn_c_fc', 3) <-> (0, 'ffn_c_fc', 2) | Sim: 0.1395
(0, 'ffn_c_fc', 3) <-> (0, 'ffn_c_fc', 4) | Sim: 0.1839
(0, 'ffn_c_fc', 3) <-> (0, 'ffn_c_fc', 5) | Sim: 0.1737
